record_id,batch_id,product_id,product_name,event,event_time_cst,entity_involved,entity_name,entity_location,entity_latitude,entity_longitude,event_time_cst_readable
1,batch1083,PROD-001,Organic Bananas,shipped from supplier,2025-10-08T16:28:38.330Z,Supplier,Mountain View Organics,"McAllen, TX",26.2034,-98.23,Oct 8th 04:28 PM CST
2,batch3584,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T15:53:01.402Z,Supplier,Heartland Produce Alliance,"Pharr, TX",26.1948,-98.1836,Oct 9th 03:53 PM CST
3,batch325,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T19:54:08.764Z,Supplier,Golden Fields Agriculture,"Los Angeles, CA",34.0522,-118.2437,Oct 9th 07:54 PM CST
4,batch1275,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T08:51:44.391Z,Supplier,Heartland Produce Alliance,"Brownsville, TX",25.9017,-97.4975,Oct 10th 08:51 AM CST
5,batch9795,PROD-001,Organic Bananas,shipped from supplier,2025-10-07T21:56:10.759Z,Supplier,Lakeside Farm Collective,"Miami, FL",25.7617,-80.1918,Oct 7th 09:56 PM CST
6,batch2424,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T17:27:14.522Z,Supplier,Evergreen Produce Group,"San Diego, CA",32.7157,-117.1611,Oct 10th 05:27 PM CST
7,batch848,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T04:43:08.611Z,Supplier,Desert Fresh Farms,"Homestead, FL",25.4687,-80.4776,Oct 9th 04:43 AM CST
8,batch460,PROD-001,Organic Bananas,shipped from supplier,2025-10-07T13:57:49.084Z,Supplier,Heartland Produce Alliance,"Brownsville, TX",25.9017,-97.4975,Oct 7th 01:57 PM CST
9,batch4713,PROD-001,Organic Bananas,shipped from supplier,2025-10-07T15:06:07.464Z,Supplier,Mountain View Organics,"McAllen, TX",26.2034,-98.23,Oct 7th 03:06 PM CST
10,batch9552,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T17:17:00.113Z,Supplier,Prairie Fresh Growers,"Immokalee, FL",26.4187,-81.4173,Oct 10th 05:17 PM CST
11,batch3101,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T08:07:38.274Z,Supplier,Mountain View Organics,"McAllen, TX",26.2034,-98.23,Oct 9th 08:07 AM CST
12,batch1897,PROD-001,Organic Bananas,shipped from supplier,2025-10-11T00:02:03.189Z,Supplier,Golden Fields Agriculture,"Los Angeles, CA",34.0522,-118.2437,Oct 11th 12:02 AM CST
13,batch7957,PROD-001,Organic Bananas,shipped from supplier,2025-10-11T11:10:34.100Z,Supplier,Evergreen Produce Group,"Laredo, TX",27.5306,-99.4803,Oct 11th 11:10 AM CST
14,batch7730,PROD-001,Organic Bananas,shipped from supplier,2025-10-11T05:42:14.322Z,Supplier,Summit Agriculture Co.,"Key West, FL",24.5551,-81.78,Oct 11th 05:42 AM CST
15,batch2637,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T13:26:47.394Z,Supplier,Desert Fresh Farms,"Homestead, FL",25.4687,-80.4776,Oct 10th 01:26 PM CST
16,batch8708,PROD-001,Organic Bananas,shipped from supplier,2025-10-11T04:23:04.686Z,Supplier,Lakeside Farm Collective,"Miami, FL",25.7617,-80.1918,Oct 11th 04:23 AM CST
17,batch949,PROD-001,Organic Bananas,shipped from supplier,2025-10-07T20:46:59.725Z,Supplier,Desert Fresh Farms,"Homestead, FL",25.4687,-80.4776,Oct 7th 08:46 PM CST
18,batch6318,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T03:57:36.922Z,Supplier,Evergreen Produce Group,"Laredo, TX",27.5306,-99.4803,Oct 9th 03:57 AM CST
19,batch3304,PROD-001,Organic Bananas,shipped from supplier,2025-10-11T05:43:05.245Z,Supplier,Golden Fields Agriculture,"Los Angeles, CA",34.0522,-118.2437,Oct 11th 05:43 AM CST
20,batch1454,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T00:55:19.623Z,Supplier,Evergreen Produce Group,"San Diego, CA",32.7157,-117.1611,Oct 9th 12:55 AM CST
21,batch3476,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T13:15:38.121Z,Supplier,Evergreen Produce Group,"Laredo, TX",27.5306,-99.4803,Oct 9th 01:15 PM CST
22,batch641,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T13:14:10.339Z,Supplier,Heartland Produce Alliance,"Pharr, TX",26.1948,-98.1836,Oct 10th 01:14 PM CST
23,batch2083,PROD-001,Organic Bananas,shipped from supplier,2025-10-11T00:32:30.343Z,Supplier,Heartland Produce Alliance,"Brownsville, TX",25.9017,-97.4975,Oct 11th 12:32 AM CST
24,batch7200,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T10:24:51.591Z,Supplier,Evergreen Produce Group,"Laredo, TX",27.5306,-99.4803,Oct 9th 10:24 AM CST
25,batch5620,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T11:43:28.309Z,Supplier,Mountain View Organics,"McAllen, TX",26.2034,-98.23,Oct 10th 11:43 AM CST
26,batch8660,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T00:46:27.728Z,Supplier,Evergreen Produce Group,"Laredo, TX",27.5306,-99.4803,Oct 10th 12:46 AM CST
27,batch963,PROD-001,Organic Bananas,shipped from supplier,2025-10-11T06:50:26.887Z,Supplier,Desert Fresh Farms,"Homestead, FL",25.4687,-80.4776,Oct 11th 06:50 AM CST
28,batch6616,PROD-001,Organic Bananas,shipped from supplier,2025-10-07T14:32:24.711Z,Supplier,Desert Fresh Farms,"Homestead, FL",25.4687,-80.4776,Oct 7th 02:32 PM CST
29,batch6616,PROD-001,Organic Bananas,received at the dock,2025-10-08T07:57:21.112Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 8th 07:57 AM CST
30,batch5683,PROD-001,Organic Bananas,shipped from supplier,2025-10-08T14:34:07.152Z,Supplier,Heartland Produce Alliance,"Brownsville, TX",25.9017,-97.4975,Oct 8th 02:34 PM CST
31,batch5683,PROD-001,Organic Bananas,received at the dock,2025-10-08T19:57:41.041Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 8th 07:57 PM CST
32,batch5683,PROD-001,Organic Bananas,shipped from dock,2025-10-09T19:57:41.041Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 07:57 PM CST
33,batch8510,PROD-001,Organic Bananas,shipped from supplier,2025-10-08T16:41:29.437Z,Supplier,Lakeside Farm Collective,"Miami, FL",25.7617,-80.1918,Oct 8th 04:41 PM CST
34,batch8510,PROD-001,Organic Bananas,received at the dock,2025-10-09T10:16:47.418Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 10:16 AM CST
35,batch8510,PROD-001,Organic Bananas,shipped from dock,2025-10-10T10:16:47.418Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 10:16 AM CST
36,batch4335,PROD-001,Organic Bananas,shipped from supplier,2025-10-11T07:17:23.185Z,Supplier,Heartland Produce Alliance,"Brownsville, TX",25.9017,-97.4975,Oct 11th 07:17 AM CST
37,batch4335,PROD-001,Organic Bananas,received at the dock,2025-10-11T12:40:57.074Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 12:40 PM CST
38,batch4335,PROD-001,Organic Bananas,shipped from dock,2025-10-12T12:40:57.074Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 12:40 PM CST
39,batch9874,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T04:32:13.677Z,Supplier,Summit Agriculture Co.,"Key West, FL",24.5551,-81.78,Oct 10th 04:32 AM CST
40,batch9874,PROD-001,Organic Bananas,received at the dock,2025-10-10T21:03:34.316Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 09:03 PM CST
41,batch9874,PROD-001,Organic Bananas,shipped from dock,2025-10-11T21:03:34.316Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 09:03 PM CST
42,batch9773,PROD-001,Organic Bananas,shipped from supplier,2025-10-07T17:35:29.352Z,Supplier,Evergreen Produce Group,"San Diego, CA",32.7157,-117.1611,Oct 7th 05:35 PM CST
