schedule_id,product_id,location_id,customer_id,schedule_date,qty,snapshot_date
SCH00001,PROD-001,DC002,CUST001,2026-01-30,12361,2026-01-30
SCH00002,PROD-001,DC002,CUST001,2026-01-31,15179,2026-01-30
SCH00003,PROD-001,DC002,CUST001,2026-02-01,14464,2026-01-30
SCH00004,PROD-001,DC002,CUST001,2026-02-02,15156,2026-01-30
SCH00005,PROD-001,DC002,CUST001,2026-02-03,15843,2026-01-30
SCH00006,PROD-001,DC002,CUST001,2026-02-04,19381,2026-01-30
SCH00007,PROD-002,DC002,CUST001,2026-01-30,16425,2026-01-30
SCH00008,PROD-002,DC002,CUST001,2026-01-31,13658,2026-01-30
SCH00009,PROD-002,DC002,CUST001,2026-02-01,13488,2026-01-30
SCH00010,PROD-002,DC002,CUST001,2026-02-02,18654,2026-01-30
SCH00011,PROD-002,DC002,CUST001,2026-02-03,14883,2026-01-30
SCH00012,PROD-002,DC002,CUST001,2026-02-04,19480,2026-01-30
SCH00013,PROD-003,DC002,CUST001,2026-01-30,16716,2026-01-30
SCH00014,PROD-003,DC002,CUST001,2026-01-31,5449,2026-01-30
SCH00015,PROD-003,DC002,CUST001,2026-02-01,14958,2026-01-30
SCH00016,PROD-003,DC002,CUST001,2026-02-02,15432,2026-01-30
SCH00017,PROD-003,DC002,CUST001,2026-02-03,6488,2026-01-30
SCH00018,PROD-003,DC002,CUST001,2026-02-04,9461,2026-01-30
SCH00019,PROD-004,DC002,CUST001,2026-01-30,14039,2026-01-30
SCH00020,PROD-004,DC002,CUST001,2026-01-31,18434,2026-01-30
SCH00021,PROD-004,DC002,CUST001,2026-02-01,6182,2026-01-30
SCH00022,PROD-004,DC002,CUST001,2026-02-02,12647,2026-01-30
SCH00023,PROD-004,DC002,CUST001,2026-02-03,14877,2026-01-30
SCH00024,PROD-004,DC002,CUST001,2026-02-04,14564,2026-01-30
SCH00025,PROD-005,DC002,CUST001,2026-01-30,11148,2026-01-30
SCH00026,PROD-005,DC002,CUST001,2026-01-31,8331,2026-01-30
SCH00027,PROD-005,DC002,CUST001,2026-02-01,6148,2026-01-30
SCH00028,PROD-005,DC002,CUST001,2026-02-02,11786,2026-01-30
SCH00029,PROD-005,DC002,CUST001,2026-02-03,5891,2026-01-30
SCH00030,PROD-005,DC002,CUST001,2026-02-04,6250,2026-01-30
SCH00031,PROD-006,DC002,CUST001,2026-01-30,14244,2026-01-30
