record_id,reference_number,product_id,product_name,status,qty,unit_price,current_location,latitude,longitude,destination,time_remaining_to_destination_hours,last_updated,last_updated_cst,expected_arrival_time,batch_id,transit_status
851,DCST-001850,PROD-007,Organic Carrots,At DC,40141,1.99,"Denver DC, CO",39.7392,-104.9903,"Denver DC, CO",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch7167,Nil
560,DCST-001559,PROD-005,Organic Blueberries,At DC,38879,6.99,"Phoenix DC, AZ",33.4484,-112.074,"Phoenix DC, AZ",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch356,Nil
926,DOCK-001925,PROD-008,Organic Apples,At the Dock,24268,2.99,"Houston Dock, TX",29.7604,-95.3698,"Houston Dock, TX",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch2815,Nil
1128,CUST-002127,PROD-009,Organic Lettuce,In Transit to Customer,5629,3.99,"Gray, GA",33.0093,-83.532,"Macon, GA",0.24,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch5237,Delayed
676,DCST-001675,PROD-006,Organic Tomatoes,At DC,30575,3.49,"Atlanta DC, GA",33.749,-84.388,"Atlanta DC, GA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch2392,Nil
18,SUPP-001017,PROD-001,Organic Bananas,In Transit from Supplier,6779,0.79,"Corpus Christi, TX",27.8006,-97.3964,"Houston Dock, TX",3.32,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 10:24 AM CST,batch6318,Delayed
290,DCTR-001289,PROD-003,Organic Spinach,In Transit to DC,3224,4.99,"Van Horn, TX",31.0399,-104.8308,"Phoenix DC, AZ",8.27,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 03:24 PM CST,batch8179,Delayed
382,SUPP-001381,PROD-004,Organic Strawberries,In Transit from Supplier,3019,5.99,"Los Angeles, CA",34.0522,-118.2437,"Houston Dock, TX",24.93,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 31st 07:24 AM CST,batch114,Delayed
282,SUPP-001281,PROD-003,Organic Spinach,In Transit from Supplier,7311,4.99,"Bakersfield, CA",35.3733,-119.0187,"Houston Dock, TX",25.94,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 31st 08:24 AM CST,batch5773,Delayed
583,DCST-001582,PROD-005,Organic Blueberries,At DC,32056,6.99,"Denver DC, CO",39.7392,-104.9903,"Denver DC, CO",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch9732,Nil
47,DCST-001046,PROD-001,Organic Bananas,At DC,36870,0.79,"Atlanta DC, GA",33.749,-84.388,"Atlanta DC, GA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch3024,Nil
917,SUPP-001916,PROD-008,Organic Apples,In Transit from Supplier,4437,2.99,"Sacramento, CA",38.5816,-121.4944,"Houston Dock, TX",29.2,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 31st 12:24 PM CST,batch4497,Delayed
732,CUST-001731,PROD-006,Organic Tomatoes,In Transit to Customer,3895,3.49,"Pell City, AL",33.5862,-86.2861,"Birmingham, AL",0.56,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch1248,Delayed
85,DCST-001084,PROD-001,Organic Bananas,At DC,32581,0.79,"Denver DC, CO",39.7392,-104.9903,"Denver DC, CO",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch9092,Nil
1221,DCST-002220,PROD-010,Organic Bell Peppers,At DC,42452,4.49,"Sacramento DC, CA",38.5816,-121.4944,"Sacramento DC, CA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch4233,Nil
1142,CUST-002141,PROD-009,Organic Lettuce,In Transit to Customer,7689,3.99,"Atwater, CA",37.3477,-120.6093,"Fresno, CA",1.13,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 08:24 AM CST,batch6248,Delayed
358,CUST-001357,PROD-003,Organic Spinach,In Transit to Customer,6681,4.99,"Wellton, AZ",32.6728,-114.1469,"Yuma, AZ",0.51,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch6217,Delayed
179,DCST-001178,PROD-002,Organic Avocados,At DC,38451,2.49,"Atlanta DC, GA",33.749,-84.388,"Atlanta DC, GA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch8581,Nil
1013,CUST-002012,PROD-008,Organic Apples,In Transit to Customer,3465,2.99,"Atwater, CA",37.3477,-120.6093,"Fresno, CA",1.13,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 08:24 AM CST,batch6953,Delayed
896,CUST-001895,PROD-007,Organic Carrots,In Transit to Customer,4058,1.99,"Southborough, MA",42.3056,-71.5245,"Worcester, MA",0.26,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch2979,Delayed
88,DCST-001087,PROD-001,Organic Bananas,At DC,42336,0.79,"Boston DC, MA",42.3601,-71.0589,"Boston DC, MA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch3265,Nil
878,CUST-001877,PROD-007,Organic Carrots,In Transit to Customer,4366,1.99,"Benicia, CA",38.0493,-122.1586,"San Francisco, CA",0.43,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch5324,OnTime
