order_id,supplier_id,product_id,qty,expected_arrival_days,snapshot_date,expected_arrival_date
PO0001,SUPP016,PROD-002,9787,9,2026-01-30,2026-02-08
PO0002,SUPP009,PROD-002,9779,5,2026-01-30,2026-02-04
PO0003,SUPP012,PROD-005,11574,9,2026-01-30,2026-02-08
PO0004,SUPP009,PROD-005,9059,6,2026-01-30,2026-02-05
PO0005,SUPP015,PROD-004,11131,8,2026-01-30,2026-02-07
PO0006,SUPP019,PROD-004,8142,5,2026-01-30,2026-02-04
PO0007,SUPP004,PROD-009,9331,8,2026-01-30,2026-02-07
PO0008,SUPP008,PROD-009,8627,9,2026-01-30,2026-02-08
PO0009,SUPP002,PROD-001,9983,8,2026-01-30,2026-02-07
PO0010,SUPP018,PROD-001,9738,9,2026-01-30,2026-02-08
PO0011,SUPP015,PROD-007,11630,6,2026-01-30,2026-02-05
PO0012,SUPP013,PROD-007,11767,9,2026-01-30,2026-02-08
PO0013,SUPP007,PROD-006,11954,9,2026-01-30,2026-02-08
PO0014,SUPP020,PROD-006,11891,9,2026-01-30,2026-02-08
PO0015,SUPP017,PROD-010,9782,7,2026-01-30,2026-02-06
PO0016,SUPP019,PROD-010,8232,6,2026-01-30,2026-02-05
PO0017,SUPP017,PROD-008,10222,7,2026-01-30,2026-02-06
PO0018,SUPP018,PROD-008,8895,5,2026-01-30,2026-02-04
PO0019,SUPP009,PROD-003,10323,6,2026-01-30,2026-02-05
PO0020,SUPP020,PROD-003,11432,5,2026-01-30,2026-02-04
